"Aaron Rankin","Q76364166","2019 United Kingdom general election","East Antrim","Conservative Party"
"Alan Greer","Q98247169","2005 United Kingdom general election","Belfast East","Northern Ireland Conservatives"
"Alex Wilson",,,,
"Andrea Palmer",,,,
"Angela Mulholland","Q76130939","2019 United Kingdom general election","East Antrim","Social Democratic and Labour Party"
"Austin Kevin Kelly",,,,
"Billy Donaldson",,,,
"Charles McFerran Legg",,,,
"Chrissie McAuley",,,,
"Daniel Dumigan",,,,
"Danny Donnelly","Q76130639","2019 United Kingdom general election","East Antrim","Alliance Party of Northern Ireland"
"Gerry Lynch",,,,
"Henry Rosere Beddoes",,,,
"James King-Kerr",,,,
"James McKeown",,,,
"Janette Graffan",,,,
"John Mathews",,,,
"Justin McCamphill",,,,
"Margaret McKillop",,,,
"Marriott Robert Dalway",,,,
"Maura McCann",,,,
"Michael O'Cleary",,,,
"Myrtle Margaretta Boal",,,,
"Noel Jordan",,,,
"Philip Randle",,,,
"Rodney McCune",,,,
"Ruth Wilson",,,,
"Sammy Morrison",,,,
"Terence Dick",,,,
"William Agnew Moore",,,,
"William Anthony Cunning",,,,
